name,experience,sector,feedback,jurisdiction,charges,daysofdisposal,language,cityofpractice,probonoserviceprovided,clientdemographics,total_score
Suhana Bawa,3,"Human Rights Law, Labor Law, and Banking and Finance Law",3,District Court,150.6211467,65.59032408,"Tamil, Telugu and Odia",Delhi,no,Large Corporations,8.5
Anahi Gala,22,"Labor Law, Consumer Protection Law, and Immigration Law",2.858744395,Supreme Court,470.0547974,89.76723953,"Odia, Tamil and Gujarati",Delhi,no,Large Corporations,24
Gatik Suresh,21,"Corporate Law, Environmental Law, and Environmental Law",3,Supreme Court,205.0684681,89.3359002,"Assamese, Kannada and Bengali",Bangalore,yes,Individuals,24
Saanvi Thakur,2,"Labor Law, Banking and Finance Law, and Media and Entertainment Law",3,Specialized Court,122.4429943,79.06561125,"Telugu, Kannada and Urdu",Chennai,no,Individuals,13.5
Bhavin Kata,24,"Family Law, Civil Law, and Family Law",5,District Court,303.4239748,87.16478553,"Assamese, Telugu and Odia",Bangalore,no,Large Corporations,20.5
Shayak Wable,12,"Consumer Protection Law, Media and Entertainment Law, and Constitutional Law",4,High Court,474.6983542,92.70442321,"Malayalam, Kannada and Gujarati",Mumbai,no,Individuals,17
Nakul Varughese,6,"Tax Law, Criminal Law, and Environmental Law",5,Specialized Court,51.72363073,77.77697777,"Urdu, Malayalam and Bengali",Hyderabad,yes,Individuals,19.5
Aarush Rajagopalan,2,"Labor Law, Medical Law, and Human Rights Law",3,District Court,157.1561795,67.85606184,"Malayalam, Kannada and Telugu",Delhi,yes,Large Corporations,8.5
Krish Ramachandran,28,"Medical Law, Human Rights Law, and Family Law",4,Supreme Court,472.3014382,117.0836165,"Tamil, Telugu and Kannada",Delhi,no,Small Businesses,28
Rhea De,21,"Constitutional Law, Civil Law, and Corporate Law",1,Specialized Court,126.9886851,80.50090943,"Tamil, Punjabi and Malayalam",Kolkata,yes,Small Businesses,17.5
Sahil D’Alia,1,"Labor Law, Immigration Law, and Banking and Finance Law",5,Supreme Court,100.9595532,88.54859845,"Malayalam, Punjabi and Odia",Chennai,yes,Large Corporations,20
Eshani Hayre,12,"Immigration Law, Immigration Law, and Tax Law",2.858744395,Supreme Court,306.5842471,89.76723953,"Urdu, Bengali and Marathi",Chennai,no,Small Businesses,20
Advika Walla,26,"Environmental Law, Banking and Finance Law, and Criminal Law",4,Specialized Court,437.8297205,142.9358278,"Urdu, Punjabi and Odia",Kolkata,yes,Large Corporations,25.5
Aaryahi Banik,22,"Environmental Law, Human Rights Law, and Environmental Law",1,Specialized Court,264.699418,71.33270325,"Hindi, Bengali and Bengali",Mumbai,no,Large Corporations,17.5
Yasmin Kalla,29,"Family Law, Family Law, and Media and Entertainment Law",1,Specialized Court,497.5539155,96.74740821,"Malayalam, Odia and Malayalam",Chennai,no,Individuals,19.5
Mahika Varma,12,"Constitutional Law, Real Estate Law, and Family Law",4,Specialized Court,355.6272648,79.38671572,"Odia, Gujarati and Tamil",Delhi,no,Small Businesses,19.5
Ira Mall,25,"Consumer Protection Law, Consumer Protection Law, and Banking and Finance Law",2,Specialized Court,83.33370824,81.91814543,"Tamil, Urdu and Malayalam",Mumbai,yes,Large Corporations,21.5
Madhav Agarwal,17,"Medical Law, Intellectual Property Law, and Media and Entertainment Law",5,Supreme Court,496.7744593,79.19681968,"Hindi, Gujarati and Bengali",Bangalore,no,Small Businesses,26
Kanav Sahni,27,"Intellectual Property Law, Tax Law, and Civil Law",5,High Court,233.5524066,73.11517548,"Kannada, Kannada and Malayalam",Bangalore,no,Small Businesses,25
Anaya Choudhary,27,"Constitutional Law, Medical Law, and Tax Law",3,High Court,179.3311402,89.38062957,"Gujarati, Assamese and Hindi",Mumbai,yes,Small Businesses,21
Drishya Rattan,10,"Environmental Law, Environmental Law, and Family Law",4,Specialized Court,301.0456326,67.88245969,"Gujarati, Hindi and Tamil",Delhi,no,Large Corporations,19.5
Nitya Talwar,28,"Immigration Law, Civil Law, and Intellectual Property Law",2.858744395,Supreme Court,186.9384163,89.76723953,"Tamil, Kannada and Bengali",Bangalore,no,Individuals,26
Ivana Madan,28,"Media and Entertainment Law, Media and Entertainment Law, and Medical Law",3,High Court,88.9058782,90.82504404,"Hindi, Telugu and Gujarati",Hyderabad,yes,Small Businesses,21
Purab Contractor,16,"Tax Law, Environmental Law, and Corporate Law",1,High Court,50.64275439,96.33652459,"Odia, Telugu and Kannada",Delhi,no,Large Corporations,13
Riya Kannan,15,"Family Law, Immigration Law, and Real Estate Law",5,High Court,252.3125088,83.00717082,"Malayalam, Urdu and Bengali",Kolkata,yes,Small Businesses,21
Zoya Verma,15,"Intellectual Property Law, Labor Law, and Environmental Law",3,Supreme Court,426.58854,84.49194099,"Odia, Marathi and Gujarati",Chennai,no,Individuals,22
Jhanvi Gaba,19,"Immigration Law, Corporate Law, and Medical Law",1,Specialized Court,307.5418335,94.31345858,"Kannada, Marathi and Marathi",Mumbai,yes,Small Businesses,15.5
Shaan Soni,12,"Consumer Protection Law, Criminal Law, and Human Rights Law",4,Specialized Court,499.6432845,72.53924051,"Tamil, Marathi and Hindi",Chennai,yes,Large Corporations,19.5
Stuvan Krish,23,"Media and Entertainment Law, Real Estate Law, and Constitutional Law",3,Specialized Court,179.0809905,84.63014348,"Telugu, Punjabi and Malayalam",Kolkata,yes,Small Businesses,21.5
Manikya Gour,20,"Human Rights Law, Labor Law, and Banking and Finance Law",5,District Court,176.2047791,77.10579729,"Kannada, Odia and Telugu",Bangalore,yes,Small Businesses,20.5
Kavya Rattan,25,"Consumer Protection Law, Real Estate Law, and Corporate Law",3,District Court,121.8872571,76.64146784,"Hindi, Kannada and Malayalam",Hyderabad,no,Small Businesses,18.5
Diya Bassi,3,"Immigration Law, Family Law, and Tax Law",2.967963387,District Court,123.8286147,90.24561363,"Telugu, Telugu and Assamese",Delhi,no,Individuals,8.5
Pari Garde,5,"Human Rights Law, Tax Law, and Intellectual Property Law",3,Supreme Court,178.3339682,110.0898988,"Assamese, Hindi and Hindi",Delhi,yes,Small Businesses,18
Saksham Amble,19,"Criminal Law, Banking and Finance Law, and Criminal Law",5,High Court,406.7780204,79.7019187,"Malayalam, Hindi and Tamil",Kolkata,no,Large Corporations,21
Jivin Kalla,7,"Family Law, Banking and Finance Law, and Civil Law",1,High Court,457.5905558,107.4506408,"Gujarati, Hindi and Kannada",Mumbai,no,Small Businesses,9
Aaina Ganesan,21,"Constitutional Law, Immigration Law, and Constitutional Law",5,Supreme Court,488.7892264,106.0318848,"Marathi, Marathi and Hindi",Chennai,no,Small Businesses,28
Jayan Kaur,9,"Human Rights Law, Corporate Law, and Environmental Law",1,Supreme Court,154.5303443,70.7100044,"Gujarati, Urdu and Odia",Hyderabad,no,Small Businesses,14
Dhruv Yohannan,7,"Media and Entertainment Law, Human Rights Law, and Banking and Finance Law",2,Specialized Court,446.5838955,73.67383146,"Assamese, Marathi and Telugu",Bangalore,no,Individuals,13.5
Hiran Dave,18,"Banking and Finance Law, Consumer Protection Law, and Constitutional Law",5,Specialized Court,197.7147902,128.4075444,"Malayalam, Malayalam and Tamil",Mumbai,no,Large Corporations,23.5
Madhav Malhotra,4,"Human Rights Law, Human Rights Law, and Corporate Law",5,District Court,100.778245,116.2638891,"Tamil, Malayalam and Odia",Hyderabad,no,Small Businesses,12.5
Ivan Chaudhuri,25,"Corporate Law, Labor Law, and Banking and Finance Law",4,District Court,441.5112165,89.5272223,"Urdu, Telugu and Tamil",Hyderabad,yes,Large Corporations,20.5
Azad Suri,28,"Tax Law, Real Estate Law, and Tax Law",2.858744395,Supreme Court,336.2475356,89.76723953,"Gujarati, Kannada and Odia",Kolkata,no,Large Corporations,26
Priyansh Choudhry,14,"Corporate Law, Intellectual Property Law, and Criminal Law",1,District Court,124.1289032,80.53730396,"Punjabi, Kannada and Punjabi",Kolkata,yes,Individuals,8.5
Tara Bains,18,"Constitutional Law, Family Law, and Labor Law",1,High Court,243.4240659,96.48529071,"Assamese, Urdu and Kannada",Delhi,yes,Large Corporations,13
Gokul Sangha,26,"Constitutional Law, Intellectual Property Law, and Human Rights Law",4,Supreme Court,179.2659627,79.24227149,"Gujarati, Odia and Gujarati",Bangalore,yes,Small Businesses,28
Jivin Srivastava,9,"Family Law, Corporate Law, and Intellectual Property Law",4,Supreme Court,381.5575559,59.51469354,"Gujarati, Assamese and Malayalam",Mumbai,no,Individuals,20
Ranbir Sharaf,26,"Constitutional Law, Consumer Protection Law, and Environmental Law",3,High Court,254.0373038,70.1766632,"Gujarati, Punjabi and Hindi",Delhi,no,Individuals,21
Damini Virk,21,"Environmental Law, Consumer Protection Law, and Labor Law",3,Specialized Court,495.1759753,90.31639122,"Malayalam, Hindi and Marathi",Bangalore,yes,Large Corporations,21.5
Ivan Dhaliwal,2,"Human Rights Law, Labor Law, and Civil Law",5,Specialized Court,74.63524202,73.03399147,"Gujarati, Kannada and Odia",Chennai,yes,Individuals,17.5
Akarsh Karnik,20,"Human Rights Law, Environmental Law, and Criminal Law",2,High Court,209.7568698,88.99083803,"Telugu, Urdu and Punjabi",Chennai,no,Large Corporations,17
Urvi Setty,28,"Criminal Law, Family Law, and Consumer Protection Law",3,High Court,266.8550752,73.88008441,"Assamese, Hindi and Kannada",Delhi,no,Large Corporations,21
Anahi Date,15,"Intellectual Property Law, Medical Law, and Consumer Protection Law",2.967963387,District Court,276.4100996,90.24561363,"Telugu, Marathi and Marathi",Mumbai,no,Individuals,14.5
Tara Sood,28,"Constitutional Law, Consumer Protection Law, and Criminal Law",3,Supreme Court,192.1711201,102.7974796,"Gujarati, Tamil and Assamese",Bangalore,yes,Small Businesses,26
Kiara Doctor,7,"Corporate Law, Consumer Protection Law, and Intellectual Property Law",1,District Court,378.1581121,93.71220821,"Bengali, Gujarati and Hindi",Chennai,yes,Large Corporations,6.5
Ishita Choudhry,12,"Media and Entertainment Law, Labor Law, and Immigration Law",2,High Court,443.6361831,89.85503368,"Bengali, Kannada and Punjabi",Chennai,no,Individuals,13
Yashvi Bakshi,29,"Constitutional Law, Immigration Law, and Labor Law",5,District Court,472.4236859,103.1844596,"Telugu, Odia and Marathi",Mumbai,no,Individuals,22.5
Stuvan Cherian,8,"Consumer Protection Law, Constitutional Law, and Family Law",1,High Court,412.2920196,97.2091289,"Marathi, Assamese and Telugu",Delhi,yes,Large Corporations,9
Advik Dora,15,"Criminal Law, Family Law, and Constitutional Law",1,District Court,432.7610888,111.6984494,"Urdu, Assamese and Urdu",Kolkata,no,Large Corporations,10.5
Zara Sant,3,"Environmental Law, Intellectual Property Law, and Environmental Law",2,District Court,297.7453853,83.10211107,"Kannada, Urdu and Malayalam",Hyderabad,no,Large Corporations,6.5
Saksham Jani,14,"Environmental Law, Corporate Law, and Immigration Law",5,Specialized Court,421.6497019,83.55547532,"Punjabi, Punjabi and Tamil",Bangalore,yes,Large Corporations,21.5
Aniruddh Yohannan,17,"Media and Entertainment Law, Consumer Protection Law, and Family Law",4,High Court,186.5767591,70.483361,"Punjabi, Odia and Tamil",Chennai,yes,Small Businesses,19
Aniruddh Baria,4,"Labor Law, Consumer Protection Law, and Human Rights Law",2.967963387,District Court,229.3154429,90.24561363,"Gujarati, Marathi and Bengali",Hyderabad,no,Small Businesses,8.5
Kartik Viswanathan,18,"Human Rights Law, Banking and Finance Law, and Tax Law",3,Supreme Court,192.6108562,104.4715484,"Marathi, Kannada and Assamese",Hyderabad,yes,Small Businesses,22
Lakshit Mani,8,"Environmental Law, Tax Law, and Environmental Law",1,District Court,260.324301,109.4998106,"Bengali, Telugu and Telugu",Kolkata,no,Small Businesses,6.5
Devansh Mangal,4,"Human Rights Law, Media and Entertainment Law, and Environmental Law",3,District Court,178.5108273,104.4045775,"Bengali, Marathi and Malayalam",Hyderabad,yes,Individuals,8.5
Nakul Chakraborty,2,"Labor Law, Immigration Law, and Consumer Protection Law",4,Supreme Court,482.725149,63.087122,"Marathi, Punjabi and Urdu",Mumbai,no,Large Corporations,18
Hridaan Bhattacharyya,6,"Immigration Law, Consumer Protection Law, and Intellectual Property Law",3,High Court,190.7800826,106.2471782,"Urdu, Marathi and Bengali",Delhi,no,Individuals,13
Faiyaz Shroff,22,"Tax Law, Constitutional Law, and Tax Law",5,Specialized Court,94.12004215,62.42222065,"Telugu, Urdu and Marathi",Bangalore,no,Individuals,25.5
Nitara Saha,10,"Real Estate Law, Tax Law, and Constitutional Law",3,Specialized Court,287.0677247,103.4717599,"Urdu, Odia and Bengali",Mumbai,yes,Small Businesses,17.5
Riya Sane,4,"Medical Law, Banking and Finance Law, and Real Estate Law",4,Specialized Court,75.6945853,84.4832321,"Tamil, Urdu and Odia",Delhi,yes,Individuals,15.5
Mohanlal Krishnan,22,"Environmental Law, Criminal Law, and Family Law",4,Supreme Court,99.74442484,100.5379997,"Tamil, Hindi and Telugu",Mumbai,no,Small Businesses,26
Yashvi Krish,29,"Intellectual Property Law, Immigration Law, and Consumer Protection Law",2.967963387,District Court,148.7252251,90.24561363,"Bengali, Tamil and Punjabi",Chennai,no,Large Corporations,18.5
Rasha Deol,18,"Consumer Protection Law, Corporate Law, and Environmental Law",5,High Court,258.9576124,107.5675145,"Kannada, Odia and Punjabi",Chennai,yes,Small Businesses,21
Nirvaan Ramaswamy,26,"Civil Law, Real Estate Law, and Immigration Law",4,District Court,244.9629195,68.02537881,"Tamil, Tamil and Urdu",Kolkata,no,Large Corporations,20.5
Indrans Khalsa,12,"Immigration Law, Family Law, and Medical Law",1,Specialized Court,409.8613379,79.97317634,"Malayalam, Urdu and Hindi",Mumbai,no,Small Businesses,13.5
Adira Borah,2,"Environmental Law, Labor Law, and Consumer Protection Law",4,District Court,382.7635942,75.02858058,"Bengali, Telugu and Malayalam",Hyderabad,no,Individuals,10.5
Armaan Bhargava,10,"Human Rights Law, Corporate Law, and Family Law",3,Supreme Court,241.8432323,63.68572721,"Gujarati, Kannada and Punjabi",Chennai,no,Individuals,20
Nirvi Kalla,4,"Tax Law, Medical Law, and Family Law",3,Supreme Court,200.1668934,91.41791351,"Odia, Punjabi and Telugu",Delhi,no,Small Businesses,16
Hrishita Raval,14,"Labor Law, Family Law, and Medical Law",3,High Court,192.4109528,117.0913368,"Odia, Malayalam and Kannada",Kolkata,no,Large Corporations,15
Manjari D’Alia,16,"Corporate Law, Tax Law, and Intellectual Property Law",5,High Court,398.2977893,130.0035783,"Hindi, Marathi and Tamil",Hyderabad,no,Large Corporations,21
Reyansh Kota,15,"Medical Law, Environmental Law, and Media and Entertainment Law",3,Specialized Court,73.4325828,91.45733681,"Gujarati, Marathi and Kannada",Bangalore,no,Small Businesses,19.5
Rohan Sehgal,8,"Civil Law, Labor Law, and Environmental Law",3.085416667,High Court,55.76974228,91.07675778,"Odia, Malayalam and Bengali",Mumbai,no,Individuals,15
Miraan Garg,14,"Tax Law, Civil Law, and Tax Law",5,District Court,407.9949764,93.48141957,"Urdu, Assamese and Gujarati",Chennai,yes,Large Corporations,16.5
Dhruv Guha,23,"Tax Law, Media and Entertainment Law, and Labor Law",4,Supreme Court,264.7158692,97.48324792,"Hindi, Tamil and Odia",Hyderabad,no,Small Businesses,26
Ishita Varkey,28,"Media and Entertainment Law, Media and Entertainment Law, and Human Rights Law",1,Supreme Court,108.8965123,84.86777023,"Bengali, Punjabi and Gujarati",Delhi,no,Large Corporations,22
Eshani Wali,25,"Environmental Law, Intellectual Property Law, and Real Estate Law",4,Supreme Court,156.0046706,92.92615388,"Marathi, Odia and Telugu",Mumbai,yes,Individuals,28
Hiran Bhatt,8,"Immigration Law, Criminal Law, and Intellectual Property Law",4,High Court,469.6267789,98.06218057,"Marathi, Kannada and Gujarati",Delhi,yes,Large Corporations,15
Eshani Shukla,21,"Banking and Finance Law, Immigration Law, and Media and Entertainment Law",5,Supreme Court,436.776339,81.32310407,"Bengali, Gujarati and Kannada",Kolkata,yes,Small Businesses,28
Advika Raja,16,"Civil Law, Consumer Protection Law, and Civil Law",5,Supreme Court,369.4032726,88.8375855,"Kannada, Tamil and Hindi",Chennai,no,Large Corporations,26
Ela Sandal,13,"Medical Law, Environmental Law, and Human Rights Law",3,Supreme Court,267.0013537,89.12354822,"Bengali, Odia and Telugu",Chennai,yes,Large Corporations,20
Rania Deshpande,18,"Family Law, Banking and Finance Law, and Environmental Law",3,Specialized Court,284.1456318,102.3960498,"Telugu, Odia and Tamil",Kolkata,yes,Individuals,19.5
Farhan Solanki,15,"Real Estate Law, Medical Law, and Intellectual Property Law",3.004576659,Specialized Court,488.8600409,89.33090202,"Marathi, Punjabi and Assamese",Delhi,no,Individuals,21.5
Shlok Baria,21,"Family Law, Environmental Law, and Constitutional Law",2,High Court,484.5966997,89.22686687,"Odia, Punjabi and Urdu",Mumbai,yes,Individuals,17
Vanya Dani,24,"Banking and Finance Law, Corporate Law, and Real Estate Law",2,Supreme Court,146.8710706,118.680082,"Punjabi, Bengali and Telugu",Delhi,no,Individuals,22
Rohan Anand,26,"Human Rights Law, Criminal Law, and Consumer Protection Law",3,High Court,414.9970548,107.4609023,"Hindi, Marathi and Marathi",Mumbai,yes,Small Businesses,21
Vihaan Bhatnagar,25,"Human Rights Law, Real Estate Law, and Medical Law",2,Supreme Court,138.7591998,110.2376857,"Kannada, Kannada and Tamil",Hyderabad,yes,Large Corporations,24
Darshit Karan,28,"Consumer Protection Law, Human Rights Law, and Criminal Law",3,Supreme Court,146.091865,90.3664776,"Assamese, Hindi and Telugu",Kolkata,yes,Large Corporations,26
Ayesha Kar,28,"Civil Law, Media and Entertainment Law, and Civil Law",5,Supreme Court,354.2418654,94.81496346,"Tamil, Tamil and Marathi",Bangalore,yes,Large Corporations,30
Navya Hayre,28,"Family Law, Family Law, and Corporate Law",4,High Court,232.2504944,105.0335425,"Gujarati, Kannada and Tamil",Mumbai,yes,Large Corporations,23
Khushi Taneja,13,"Media and Entertainment Law, Family Law, and Banking and Finance Law",1,High Court,469.1949832,113.4038329,"Kannada, Bengali and Bengali",Chennai,no,Small Businesses,11
Aayush Saran,9,"Human Rights Law, Corporate Law, and Intellectual Property Law",4,Supreme Court,90.0543807,60.72595631,"Tamil, Bengali and Punjabi",Hyderabad,no,Individuals,20
Saanvi Barad,29,"Banking and Finance Law, Constitutional Law, and Family Law",2.967963387,District Court,280.1865384,90.24561363,"Kannada, Kannada and Odia",Chennai,no,Large Corporations,18.5
Bhavin Wali,15,"Environmental Law, Constitutional Law, and Labor Law",3,High Court,463.3346887,109.6416615,"Punjabi, Punjabi and Punjabi",Hyderabad,no,Large Corporations,17
Trisha Sundaram,13,"Criminal Law, Consumer Protection Law, and Criminal Law",4,Specialized Court,456.8511472,85.84665966,"Malayalam, Assamese and Kannada",Chennai,yes,Individuals,19.5
Indranil Subramaniam,1,"Labor Law, Medical Law, and Intellectual Property Law",3,High Court,120.438146,79.92418816,"Kannada, Odia and Assamese",Delhi,yes,Individuals,11
Zoya Khalsa,25,"Criminal Law, Civil Law, and Intellectual Property Law",2,Supreme Court,214.986965,71.1875852,"Odia, Gujarati and Urdu",Delhi,yes,Large Corporations,24
Hazel Basu,7,"Constitutional Law, Intellectual Property Law, and Immigration Law",2,District Court,328.60463,81.67474948,"Bengali, Kannada and Punjabi",Delhi,yes,Individuals,8.5
Kartik Goel,9,"Medical Law, Labor Law, and Media and Entertainment Law",3,Supreme Court,121.7276981,68.96446075,"Telugu, Tamil and Malayalam",Hyderabad,yes,Large Corporations,18
Ojas Jain,24,"Family Law, Real Estate Law, and Human Rights Law",3,Specialized Court,485.6099774,121.3664141,"Hindi, Hindi and Telugu",Hyderabad,no,Large Corporations,21.5
Tanya Sood,1,"Consumer Protection Law, Consumer Protection Law, and Immigration Law",2,High Court,461.6371979,89.66345922,"Marathi, Marathi and Malayalam",Chennai,no,Large Corporations,9
Shlok Mangal,12,"Media and Entertainment Law, Criminal Law, and Criminal Law",3,High Court,125.1275806,89.13074187,"Tamil, Bengali and Bengali",Mumbai,no,Large Corporations,15
Tushar Dugar,8,"Constitutional Law, Constitutional Law, and Tax Law",2.858744395,Supreme Court,104.5199576,89.76723953,"Malayalam, Telugu and Gujarati",Hyderabad,no,Large Corporations,18
Advik Mangal,24,"Human Rights Law, Civil Law, and Consumer Protection Law",4,Supreme Court,88.43381726,104.4351775,"Hindi, Assamese and Kannada",Chennai,yes,Large Corporations,26
Armaan Wagle,11,"Corporate Law, Civil Law, and Immigration Law",1,Specialized Court,459.2496488,104.1883223,"Kannada, Telugu and Punjabi",Mumbai,no,Individuals,13.5
Madhav Bora,19,"Media and Entertainment Law, Media and Entertainment Law, and Family Law",2,District Court,137.1307144,106.1043292,"Bengali, Odia and Hindi",Delhi,yes,Small Businesses,12.5
Pihu Gour,17,"Intellectual Property Law, Medical Law, and Civil Law",4,Specialized Court,237.3282178,80.53731674,"Hindi, Punjabi and Urdu",Hyderabad,yes,Small Businesses,21.5
Aradhya Ravel,8,"Corporate Law, Corporate Law, and Corporate Law",1,District Court,251.9831145,85.53199793,"Bengali, Marathi and Gujarati",Bangalore,no,Large Corporations,6.5
Nayantara Sunder,3,"Banking and Finance Law, Real Estate Law, and Human Rights Law",3,High Court,319.5549699,101.5354748,"Tamil, Bengali and Odia",Delhi,no,Individuals,11
Alisha Bedi,3,"Civil Law, Tax Law, and Medical Law",3,District Court,82.28090469,82.08916408,"Odia, Telugu and Assamese",Kolkata,yes,Large Corporations,8.5
Zeeshan Seshadri,1,"Tax Law, Labor Law, and Real Estate Law",4,District Court,152.0413778,89.92340052,"Odia, Telugu and Telugu",Mumbai,yes,Individuals,10.5
Saira Ratti,27,"Labor Law, Medical Law, and Corporate Law",3,High Court,469.1706741,95.98145647,"Bengali, Gujarati and Bengali",Bangalore,yes,Large Corporations,21
Samiha Bhakta,5,"Media and Entertainment Law, Intellectual Property Law, and Corporate Law",3.085416667,High Court,458.7845483,91.07675778,"Bengali, Kannada and Tamil",Delhi,no,Large Corporations,15
Vritika Sachdev,10,"Family Law, Medical Law, and Real Estate Law",4,High Court,401.5807913,63.33478556,"Telugu, Malayalam and Punjabi",Hyderabad,yes,Small Businesses,17
Kimaya Kulkarni,7,"Medical Law, Medical Law, and Immigration Law",1,Specialized Court,58.73056053,100.7211847,"Gujarati, Urdu and Hindi",Bangalore,yes,Individuals,11.5
Abram Borde,26,"Consumer Protection Law, Immigration Law, and Criminal Law",4,High Court,197.1530458,86.49413913,"Malayalam, Marathi and Urdu",Chennai,yes,Individuals,23
Ishaan Mann,9,"Consumer Protection Law, Corporate Law, and Real Estate Law",2,Supreme Court,332.5814309,100.6118657,"Telugu, Urdu and Odia",Mumbai,yes,Small Businesses,16
Stuvan Keer,28,"Medical Law, Labor Law, and Consumer Protection Law",4,High Court,173.8355953,101.6539754,"Hindi, Malayalam and Punjabi",Kolkata,no,Small Businesses,23
Mamooty Yadav,7,"Banking and Finance Law, Immigration Law, and Consumer Protection Law",3,High Court,459.3140128,114.1187259,"Urdu, Hindi and Odia",Chennai,no,Small Businesses,13
Emir Khurana,9,"Immigration Law, Immigration Law, and Environmental Law",3,High Court,335.2502578,110.3018047,"Telugu, Punjabi and Gujarati",Bangalore,yes,Small Businesses,13
Manjari Jain,8,"Human Rights Law, Banking and Finance Law, and Constitutional Law",5,District Court,82.35802279,110.1985749,"Hindi, Kannada and Malayalam",Delhi,no,Individuals,14.5
Navya Dar,12,"Intellectual Property Law, Real Estate Law, and Tax Law",5,Specialized Court,459.052515,111.6550548,"Marathi, Hindi and Gujarati",Mumbai,yes,Individuals,21.5
Nayantara Goyal,2,"Real Estate Law, Banking and Finance Law, and Civil Law",3.085416667,High Court,480.9949962,91.07675778,"Hindi, Tamil and Kannada",Hyderabad,no,Small Businesses,13
Raunak Kaur,1,"Real Estate Law, Real Estate Law, and Labor Law",1,Specialized Court,84.97058828,90.48277631,"Hindi, Bengali and Punjabi",Kolkata,no,Large Corporations,9.5
Biju Joshi,16,"Media and Entertainment Law, Consumer Protection Law, and Immigration Law",5,Supreme Court,289.5621057,103.0922562,"Assamese, Urdu and Bengali",Delhi,no,Large Corporations,26
Trisha Barad,23,"Real Estate Law, Criminal Law, and Human Rights Law",1,Supreme Court,186.513927,100.9812143,"Bengali, Odia and Urdu",Kolkata,no,Large Corporations,20
Gatik Maharaj,23,"Family Law, Civil Law, and Medical Law",5,High Court,226.7775844,85.36400645,"Punjabi, Tamil and Tamil",Hyderabad,yes,Large Corporations,23
